NAME,COMPANY_PROFILE,LOCATION,ADDRESS,ESTABLISHMENT_TIME,WEBSITE,CONTACT_NAME,EMAIL
LESAM INTERNATIONAL GROUP S.r.l.,"Lesam was established since 1995.We are AEO, ISO 9001 and GDP for pharmaceutical goods certified, IATA agent with 6 offices in the main italian cities. Our main purpose has always been to offer personalized services to our partners, fast reply and updates of the shipments.We can provide to our regular partner personalized track and trace system with your logo company where you can check the status and docs of your air, sea shipments.We have onbond warehouse in Milan, Genova, Rome and Naples. We are italian partner of SF Express for air shipments from Italy to China.","Rome, Italy",VIALE CHARLES LENORMANT 220,1995,www.lesaminternational.it,Mario Aliberti,mario.aliberti@lesaminternational.it
BTS Logistics B.V.,"About Ocean Freight We provide reliable, cost-effective ocean freight services to & from all major ports in the world. We leverage volume commitments & contracts with various carriers to ensure flexible sailing schedules, multiple departure and arrival options against competitive rates. Through our on-line freight management system, MyBTS, we offer 24/7 visibility of your shipments from point of origin till final destination. Our ocean freight services include: FCL (Full Container Load) LCL (Less than Container Load) Licensed NVOCC and OTI (Ocean Transport Intermediary) with the FMC for USA shipments Licensed Non-bonded Freight Forwarder with the CBSA for Canadian shipments Buyers / Sellers Consolidations Sea / Air Projects and Break-bulk shipments Cross trades (third country to third country) Door to Door transportation About Air Freight Our agreements with global carriers allow us to optimize capacity on your behalf. We offer you a choice of express, standard or deferred services. Our extensive network of agents puts us well positioned to handle any size or weight shipment around the globe. We are an IATA and CASS certified air freight forwarder with AEO certification. We negotiate direct with the airlines for competitive rates against best flight schedules. Our online MyBTS portal provides 24/7 tracking and tracing of your shipments. Our air freight scope of services includes: Standard, Express or Deferred Service Consolidation Service Projects and Chartering Sea / Air Door to Door Transportation Cross trades (third country to third country)","Amsterdam, Netherlands",Folkstoneweg 40 1118 LM Schiphol Zuid-Oost Amsterdam The Netherlands,1984,www.btslogistics.com,Sales Team,sales.air@btslogistics.com
NAC Nordic Air & Sea Cargo,"Welcome to NAC – Your Nordic partner - In the Nordic countries, we offer logistics platform that improves your competitive edge! NAC Nordic Air & Sea Cargo improves the logistics solutions of its customers by offering quality air- and sea freight services. Our history goes back to 1919. NAC Nordic Air & Sea Cargo takes pride in servicing many independent agents around the world.
Our philosophy is to identify our customers’ needs and to satisfy those needs for every shipment handled. 
We have the capacity to offer air- and seafreight at all our locations.  Our greatest strength is our local personnel, who are familiar with local businesses, serving them worldwide.
We cover all major industrial regions in the Nordic countries, and offer a full range of logistic services:
* Long term business relationships with all major shipping companies and airlines
* Complete range of forwarding services  
* In house customs handling
* Sales of transport insurances
* Warehouses with Third Party Logistics, 3PL at several locations
* Project cargo and special transports
. Domestic transportation and local distribution
* Cross Trading Solutions
We are a competitive alternative for forwarders and logistics companies in the Nordic region, we offer  independent representation through our 16 offices strategically located in Sweden, Denmark, Finland, and Norway.
NAC Nordic Air & Sea Cargo serves the world with direct services, express shipments, and consolidation by air freight. Weekly consolidation service by sea, LCL & FCL.","Jonkoping, Sweden","Industrigatan 18, P.O. Box 3022, SE-550 03,Jonkoping, Sweden",1951,http://www.nacairsea.com,Boklund Jan(Senior Management);Nderim Dardani(Sales/Administration),maria.andersson@nacairsea.com
"FRIENDLY GROUPS LOGISTICS CO.,LTD.","Founded in 1993, FG Logistics has transformed itself from a bonded warehouse operator to a global, integrated logistics operator over the last decade. The company is owned and funded by leading businessmen with in-depth knowledge of the logistics industry in Thailand and the world and is currently adopted an aggressive path of growth and expansion.
Since April 2004, FG has embarked on an aggressive strategy to expand its services beyond bonded warehousing. Today, FG has invested heavily in ensuring that it has a good foundation in IT and human resources. It is has engaged more professionals to join its team, most significant is the appointment of its CEO who brings with him an international perspective to logistics management.
Maintaining its Thai identity, FG Logistics aims to provide the best in class logistics services and solutions for companies doing business in Thailand. We also seek to support Thai companies with businesses overseas with our global logistics consultation and support.
FG Logistics is an ISO9001 certified company.","Pathum Thani, Thailand",39 moo 16 Soi Hongsakul Klongnueng Klongluang,1991,www.friendlygl.com,Thawatchai,thawatchai.s@friendlygl.com
"Asian Consolidation International Services, Inc.","Asian Consolidation International Services, Inc. is one of the leading freight forwarders providing transportation and logistics solution between Asia and worldwide.
A Philippine-based Regional Logistics Management, Freight Forwarding and NVOCC company since 1997 which caters to a full range of complete logistics services worldwide. Our professional staff dedicated to providing the highest standard of service that would satisfy and respond our customer’s demands while increasing the value of our service through quality enhancement.
At Asian Consolidation, we believe in constant innovation and upgrading to surpass our customer’s expectations. Strength provided by our position in the industry makes ACIS the best choice for your transportation and logistics needs. Our philosophy is to provide a premium quality service at competitive rates. We also believe that the scale and scope our organization does not define us. Rather, it is the needs of our customer that shape our culture and future.
Our comprehensive network in Europe, North and South America, especially in China enables us to coordinate, plan, arrange and control the timely shipment of your materials, equipment and project cargoes from various source to various construction sites, supply base and other locations as you may assign. Our growth and stability in Asian region is a direct reflection of our constant commitment to excellence.","Manila, Philippines","11th Floor Victoria Bldg., 429 U.N Ave., Ermita, Manila, Philippines",1997,www.acis.com.ph,Vivian Vocales,vivian.vocales@asianconsol.com.ph
CANWAYS SHIPPING SA,"CANWAYS SHIPPING SA is an International Shipping and Logistics Provider. In combination with our departments of Shipping, International road transport, Air freight, customs services and Logistics ,we offer integrated services in the field of supply chain. The long-term experience and continuous The long-term experience and continuous training of our executives guarantee the exceptional, safe and timely handling of our customers' consignments, proposing solutions tailored to the needs and requirements of our customers/partners, always guided by the ""win / win"" result. We have a network of correspondents around the world through which we can guarantee the reliability of our services anywhere in the world. Our long-term cooperation with the largest shipping companies guarantees the comparative advantage in low rates and priority. The long-term trust of multinational groups in the cooperation with our company demonstrates the high level of services and security that we provide. Our Company is member at following organizations:Chamber of Commerce and Industry in Greece Association of International Freight Forwarders & Logistics Entreprises of Greece FIATA Our Company is certified with ISO 9001 & ISO 14001""We CAN meet your expectations""","Piraeus, Greece",131 PRAXITELOUS STREET,2003,https://canways.com/,Konstantinos Alogakos,kpa@canwaysshipping.com
Conturk Shipping,"Company Mission: Conturk goal is to serve the international ship agencies, freight forwarding companies, worldwide importers and exporters as their local office in Turkey.. Through this way, the aim is to become one of  perfect and capable shipping companies .Company Vision: As a whole, Conturk depends on energy, active being and utilizing from the dynamic points of the global market. With contribution of our experienced company managers, Conturk aims to be a leader of worldwide shipping.Activity areas: Our main means of service is sea container transport, air cargo, inland trucking, storage services, NVOCC and port handling. Also we are traders of magnesite, construction iron and construction materials.  EntrepreneursConturk Shipping is owned by % 100 Turkish investment and run by a chamber of administration. In Conturk every single unit from  level to the  general manager has a right to speak and contribute to the coordination of the company","Istanbul, Turkiye",General Asim Gunduz Cad. No:73 1st Floor.  Kadikoy / Istanbul - TURKEY,2005,www.conturk.com,Hatun Nese,o1@conturk.com
MS GLOBAL FREIGHT SOLUTION SDN BHD,"MS Global Freight Solution Sdn Bhd is established in Malaysia by veteran logistics professionals to assist clients to expand business worldwide. We are headquartered in Kuala Lumpur, having branch office in Penang and Johor Bahru. We emphasize on personalized, professional and reliable service and solutions with comprehensive knowledge, flexibility, passion and dedication to provide customer satisfaction and to establish trust and long lasting partnership with customers and worldwide agents. 
1. Air Freight
* Book with all the 70 to 80 airlines ex KUL and PEN as an IATA accredited agent.  
* On-line worldwide flight schedule search system and years of experience and knowledge enable us to propose the most suitable solution among choices of airlines according to cargo details, urgency and budget promptly.
* Track and update status from ULD build up, manifest, departure    
* Release (Receiving) Agent Service  (MAWB consignee) Transfer from airline terminal to our bonded warehouse inside KUL FCZ 365 days. Freight Collect is remitted to origin agent promptly
* Pick up and delivery :  express charter or economy console service. Consolidation service between Penang, Johor, Malacca, Ipoh, Kuantan and KUL airport. 
* Customs clearance:  Import, Bonded Clearance, Form E, ATA carnet, Ship and Return
* Time Critical:  NFO, OBC , operating evening shift
* E-commerce including transshipment from China etc via KUL to Europe and USA etc for space and rate.  
* Pharma: GDP certified
* Perishable
* Air - Air, Sea - Air transshipment via KUL from/to overseas and East Malaysia
* Handle bitminer (bitcoin server) mainly to USA regularly
* Member of Airfreight Forwarders Association of Malaysia
2. Sea Freight FCL and LCL to worldwide, DAP and DDP
3. Project Cargo (Heavy Lift, Over Sized,Punjab
 * Experienced in arranging In Gauge / Out of Gauge Open Top and Flat Rack containers. 
* Chartering of RORO and Breakbulk vessel, Barge and Aircraft.  Close relationship with many ship owners and experienced in fixing a vessel.
* We have many years of operating experience inside KUL airport FCZ and deep operational knowledge about how to arrange over-sized and heavy lift Project Airfreight smoothly. 
* Feasibility study, road survey, method of statement, execution and supervision of packing, low loader and multi axle transportation, lashing, loading and unloading with crane, jacking and placement at consignee’s site.  
* Handle transformer, pressure vessel, boiler, tank, pump, tower crane, windmill, pipe, crane, excavator, forklift, agri tractor, helicopter, train, boat, yacht for industry such as oil & gas, energy, infrastructure, construction, mining and transportation. 
* International and domestic factory removal that involves lifting, jacking and skidding of heavy machines.
* Logistics for events and shows that includes customs clearance with ATA Carnet.
* Awarded as “The Best Partner Worldwide in 2014, 2015 and 2017” by WCA Projects.","Kuala Lumpur, Malaysia","BLOCK A, LOBBY C, 5TH FLOOR, UNIT 537 & 539 KELANA CENTRE POINT, NO.3 JALAN SS 7/19, KELANA JAYA, PETALING JAYA, Kuala Lumpur, Malaysia",2013,www.msglobal.com.my,Hiroyuki Shiono,pricing@msglobal.com.my
Apex International Inc,"We offers a total service of logistics and international transportation via air, ocean and ground from origin to destination across the globe, APEX, as a non-asset based logistics provider, we have relationship with the major air, ocean and ground carriers, to best support your ever-changing logistics needs, we customize the every possible mode of transportation to provide flexible and efficient solutions. In addition, upon price and delivery date, we customize multimodal transportation such as “AIR + SEA” and “SEA + AIR”, we propose the best efficient and cost effective solutions for you. Count on our on-time-performance ? APEX can provide.","Tokyo, Japan","7Fl, Toyokuni Bldg, 2-4-6 Shiba-Daimon, Minato-Ku, Hamamatsucho, Tokyo,Japan.",2000,www.apexintl.co.jp,Steve Ko,steve@apexintl.co.jp
Vantage Logistics Corporation,"Vantage Logistics Corp.– One-Stop Shop Integrated for Logistics Services
Vantage Logistics is an independently owned logistics company with over 23 years of expertise in international transportation and a fully integrated chain of comprehensive logistics services. We are dedicated to delivering optimal solutions that enhance efficiency and create added value for businesses.
With a robust network across the ASEAN region, Vantage Logistics serves as a vital bridge, connecting products from Vietnam and Southeast Asia to the global market. Guided by dedication, professionalism, and continuous innovation, we are committed to helping our clients achieve sustainable business success.
We have certificates: C-TPAT, IATA, ISO 9001:2015, FMC OTI-NVOCC Bond, Customs Agents License, and HSSE Compliance services we provide:

+ Logistics Services to Customers/ Partners
- International Freight (Sea + Air)
- Customs Brokerage, Permit/ License/ Master List Application
- Warehouse
- Trucking
- Project Logistics - Specialized Activity
- Perishable Logistics
- Global Sales Logistics
- Parcel/ Courier Logistics
- Break Bulk – Bulk Logistics
- Dangerous Goods (Dg) Logistics
- Oil & Gas Logistics
- Offshore Services…

+ Carrier Agency/ Partners (Break bulk vessel agency service; Tanker service)
-	Operation/ Exclusive/ General Sales Agency for International Carriers
-	Operation General Sales Agency for Domestic Carriers

+ Operation/ Execution Agent for Logistics Infrastructures (Ports, ICD, Logistics Hub/ Depot, Warehouse)

+ GSA Airlines :
-	Ticket General Sales Agent, 
-	Slot, Landing Permit, FAOC, Flight Schedule Application,
-	Ground Handling, 
-	Services for Private Jet_VVIP

+ Trading/ Procurement services
-	Buying Agent – Sourcing South East Asia (S.E.A) Suppliers for Overseas
-	Sales Agent – Additional Sales Channel to Global Market

+ ONLINE FREIGHT PLATFORM at link: https://freight.vlc.com.vn/ 

With a long-term vision and commitment to sustainable development, Vantage Logistics prioritizes high-quality services to support our customers' success and reputation. We are confident that Vantage Logistics is the ideal partner for your logistics needs. Contact us to learn more and discover how we can help grow your business.

Head Office: Suite 6.01, Block A, RiverGate 151-155 Ben Van Don Str, District 4, HCMC, Viet Nam
Email: info@vlc.com.vn 
Phone: +84-28 382 67312 
Hotline: +84-909-026-261
Website: vantage-logistics.com.vn

CORE VALUES: Committed to customer success:
SAFETY – COMPLIANCE – SECURITY – ON TIME – OPTIMIZED SERVICES","Ho Chi Minh City, Vietnam","Suite 06.01 Rivergate Residence, Tower A (Office),151-155 Ben Van Don Street, District 4, Ho Chi Minh city, Viet Nam.",2002,https://vantage-logistics.com.vn/,Florence,florence.sgn@vlc.com.vnBTS Logistics B.V.
AIRMAX Cargo Budapest Zrt.,"The expert of special services
Airmax Cargo Budapest Zrt. is among the market leaders in air, sea and road forwarding of products requiring special care as well as specialized expertise and precision. Owing to the experience, flexibility and careful attention of our colleagues, the customer base and turnover of our company has been steadily growing for years. Airmax Cargo meets extra challenges with tailor-made solutions in the field of project cargo and logistics services as well. 
An approach ensuring harmony
Our experienced, coordinated team is managed by key people who are also shareholders of our company. Airmax Cargo has been characterized by an economic approach and solution-oriented mindset from the very beginning; by means of our reliable, permanent and committed team of professionals we can maintain our flexibility, efficiency and personal style.
Anything -anywhere, in the best possible way!
Airmax Cargo forwards your goods from anywhere to anywhere in the world with air, sea or road based solutions. Irrespective of the size of the goods (overweight and/ or oversized) or their fragility (live, dangerous or perishable goods), our company will find the optimal mode of transport. Airmax offers you tailor-made solutions for special requirements and provides excellent value for money.
* Worldwide Comprehensive export-import forwarding 
* Door-to-door service
* Customs clearance with our own customs team
* Various fiscal- and taxation representation solutions 
* 500.000 SDR forwarder liability insurance and cargo insurance on demand
* In-house bonded warehouse - storage of normal, refrigerated or frozen goods as well as live animals
* Complex pharmaceutical logistics centre, including an in-house tempered pharmaceuticals warehouse with all required medical authority permits
* Own light truck fleet for distribution services, including reefer trucks
* Standard and customized packaging solutions
* IATA Cargo Agent, ISO 9001:2009 and AEO certification, FIATA and IPATA membership
* We serve the following industries:
Pharma, High-Tech, Automotive, Perishables, Aerospace, Live Animals, Dangerous Goods, Valuables","Vecses, Hungary","Lorinci u. 154, Airport City Logisztikai Park, D. ep. 3. em. Vecses, Hungary",2012,www.airmaxcargo.com,Attila Nagy,attila.nagy@airmaxcargo.com
"Transvision Int`L Logistics Co., Ltd","located in Xiamen, & has own 6 branches 
over China
The services we offer are all handled by our educated and 
experienced team (formed by nearly 200 numbers of staff)
Logistics Services include: Sea Freight, Air Freight, Inland trucking, Custom Clearance, Warehousing, etc
Trade Services include : Factory Audit, Production Inspection (IPI, DPI, PSI), Container Loading Supervision, Export/import Agent, etc.","Xiamen, China","UNIT 02A-5A, 5/F, BLDG A,FREE TRADE FINANCIAL CENTER, NO.7 YUNANSI ROAD,XIAMEN, CHINA",2001,https://www.transvision.cn,Ava Li,ava_lee@transvision.cn
Transcargo Worldwide (M) Sdn Bhd,"Transcargo Worldwide (M) Sdn Bhd is an established international logistics provider based in
Malaysia. With its slogan “Your Passionate Logistics Partner”, Transcargo strives to offer you the
best logistics service. You can count on Transcargo with regards to any Malaysia shipment,
regardless whether it is air or sea. Transcargo is your choice if you are looking for a reliable, stable
and effective partner in Malaysia.
Why use Transcargo Malaysia: 
*Warehouse Facility:
- KUL Airport: 10,000 sqf of bonded warehouse facility with 24 hour armed guard, CCTV & alarm
system
- Port Klang: 55,000 sqf of non-bonded warehouse facility with 24 hour armed guard, CCTV &
alarm system
*In-house customs license to make online customs clearance
*All transactions are covered by Integrated Transit Liability Insurance, inclusive
*Bill of Lading Liability (Ocean, Air and Surface),
*Errors and omissions, Bailee liability, third party liability
*Customs agent basic course certified
*Cargo basic skill course certified
*DGR course certified
*Direct relationship with airlines and shipping lines
*Experienced staff in all aspects
Accredited Members of:
IATA (International Air Transport Association)
FIATA (International Federation of Freight Forwarders Associations)
AFAM (Airfreight Forwarders Association of Malaysia)
SFFLA (Selangor Freight Forwarders and Logistics Association)
PFFA (Penang Freight Forwarders Association)
MGCC (Malaysian-German Chamber of Commerce and Industry)
MCCC (Malaysia-China Chamber of Commerce)
Our services: 
International & domestic air freight & sea freight/ Customs brokerage
Break-bulk/ Warehousing & distribution/ Door to door
Project cargo/ Hand carry/ Express handling/ Security handling
Inland & cross border trucking/ Removal & packing
Chartering & insurance/ Value added services
Offices in Port Klang (Head Quarter & Seafreight Office), Kuala Lumpur International Airport (Airfreight Office) and Penang","Selangor Darul Ehsan, Malaysia","A-7-1 & A-7-2, South Tower, BBT One The Towers, Lebuh Batu Nilam 1, Bandar Bukit Tinggi, 41200 Klang, Selangor Darul Ehsan, Malaysia.",2007,www.transcargo.com.my,Ong Chin Kian,kian@transcargo.com.my
